谢谢收看,#genre#
精选大江南北歌曲[854*480],https://vd3.bdstatic.com/mda-mkudm4eq9p8p3u86/480p/h264/1638178700564898831/mda-mkudm4eq9p8p3u86.mp4
网络爆红DJ舞曲[854*480],https://vd3.bdstatic.com/mda-mki529nvmkxde6x8/480p/h264/1637293395968208020/mda-mki529nvmkxde6x8.mp4
网络最火DJ音乐舞曲[854*480],https://vd3.bdstatic.com/mda-mki529nvmkxde6x8/480p/h264/1637293395968208020/mda-mki529nvmkxde6x8.mp4
6首火遍全网歌曲[854*480],https://vd3.bdstatic.com/mda-mkf63gabjer51i9c/480p/h264/1637037550863164410/mda-mkf63gabjer51i9c.mp4
劲歌热舞网络DJ[854*480],https://vd3.bdstatic.com/mda-mku3r3h9uxyjxpjf/480p/h264/1638153592661083380/mda-mku3r3h9uxyjxpjf.mp4
热门DJ笑纳[854*480],https://vd3.bdstatic.com/mda-mkn4pytp5id88k1n/hd/cae_h264/1637642343249797600/mda-mkn4pytp5id88k1n.mp4
火爆DJ串烧渇望[854*480],https://vd3.bdstatic.com/mda-mkmhuih1w2cmza3u/480p/h264/1637585190624896109/mda-mkmhuih1w2cmza3u.mp4
酒吧爆火DJ舞曲[1920*1080],https://vd4.bdstatic.com/mda-mmgf5h3qfy82g3p6/1080p/cae_h264/1639741043433716746/mda-mmgf5h3qfy82g3p6.mp4
酒吧爆火DJ舞曲②[1920*1080],https://vd4.bdstatic.com/mda-mmgf9k7sqr771a0d/1080p/cae_h264/1639739439753027337/mda-mmgf9k7sqr771a0d.mp4
DJ音乐情歌选[1920*1080],https://vd2.bdstatic.com/mda-mm595gmdf11p2pf0/1080p/cae_h264/1638806041749745133/mda-mm595gmdf11p2pf0.mp4
一夜火爆i网络DJ舞曲[1920*1080],https://vdse.bdstatic.com//692b9306c06b72d223c9d714f8ebe579.mp4
一夜火爆i网络DJ舞曲[1920*1080],https://vdse.bdstatic.com//692b9306c06b72d223c9d714f8ebe579.mp4
一夜火爆i网络DJ舞曲[1920*1080],https://vdse.bdstatic.com//692b9306c06b72d223c9d714f8ebe579.mp4
2021年最火伤感音乐[1920*1080],https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
2021年最火伤感音乐[1920*1080],https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
2021年最火伤感音乐[1920*1080],https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
2021年网络火爆伤感情歌6首[1920*1080],https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
2021年网络火爆伤感情歌6首[1920*1080],https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
2021年网络火爆伤感情歌6首[1920*1080],https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
2021年6首网络伤感情歌[854*480],http://39.165.32.235:88/v1.go2yd.com/video/fcaf341a6038ed4d8dbd50deaf3036c1.mp4_bd.mp4
2021年6首网络伤感情歌[854*480],http://39.165.32.235:88/v1.go2yd.com/video/fcaf341a6038ed4d8dbd50deaf3036c1.mp4_bd.mp4
2021年6首网络伤感情歌[854*480],http://39.165.32.235:88/v1.go2yd.com/video/fcaf341a6038ed4d8dbd50deaf3036c1.mp4_bd.mp4
几首比较火的DJ情歌[1280*720],https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
几首比较火的DJ情歌[1280*720],https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
几首比较火的DJ情歌[1280*720],https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
精选6首DJ情歌[1920*1080],https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4
精选6首DJ情歌[1920*1080],https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4
精选6首DJ情歌[1920*1080],https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4
蹦迪DJ[1272*720],https://vdse.bdstatic.com//e94b56d691d790f43b6dad9969c98af9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-03-08T16%3A50%3A57Z%2F-1%2Fhost%2Fde133e984bd8cc25dc90226c07060de2d0e7e5cf54cebf13db588c88b2a3aa50
DJ[1280*720],https://vdse.bdstatic.com//89125075c8eff065022858f7ab9f45ac.mp4
夜店DJ[856*482],http://listen.92kk.com:8811/%2F2020%2F%E8%BD%A6%E8%BD%BD%E8%A7%86%E9%A2%91%2F2020-08%2F2020-08-22%2F%5BMp4%5D%E6%9D%80%E6%AD%BB%E6%88%91%E7%9A%84%E6%B8%A9%E6%9F%94-%E9%BA%A6%E5%AE%B6%E7%91%9C-%E8%BD%A6%E8%BD%BD%E9%9F%B3%E4%B9%90%E7%B2%BE%E5%93%81%E7%BE%8E%E5%A5%B3%E5%A4%9C%E5%BA%97DJ%E8%A7%86%E9%A2%91%5B%E7%8B%AC%5D.mp4
10首车载dj[854*480],https://vd3.bdstatic.com/mda-nbhgwre9iykh09ya/hd/cae_h264_delogo/1645187028018958500/mda-nbhgwre9iykh09ya.mp4
DJ歌曲多想抱抱[854*480],https://vd4.bdstatic.com/mda-nc8hy0n0zmv8p9jr/480p/h264_delogo/1646829628996348347/mda-nc8hy0n0zmv8p9jr.mp4
DJ版《真的为你哭了 》[1920*1080],https://vd2.bdstatic.com/mda-me5chwexudvzcayg/fhd/cae_h264_nowatermark/1620297137821103617/mda-me5chwexudvzcayg.mp4
《唱着情歌流着泪》[1920*1080],https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
《唱着情歌流着泪》[1920*1080],https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
《唱着情歌流着泪》[1920*1080],https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
几首比较火的DJ情歌[1280*720][1280*720],https://vdse.bdstatic.com//4d7e8fe409b2ba9e08b179de8e146fa3.mp4
6首DJ情歌[640*360][640*360],https://vdse.bdstatic.com//e0ad4d203cd7d7ffa943544c8d2ddbd3.mp4
抖音热歌《大风吹+夜夜夜漫长》[640*360][640*360],https://vdse.bdstatic.com//13da18e12728e9d7849f6589a3070b4c.mp4
DJ情歌6首[1920*1080],https://vdse.bdstatic.com//c9e449d2db0a3fa5f6a8afafbc43fbdc.mp4
车载DJ《今夜为你醉...》[1920*1080],https://vdse.bdstatic.com//b68123a666cce39e7413da912e3675a3.mp4
忘记你需要多久(DJ小鱼儿版)[1920*1080],https://vd2.bdstatic.com/mda-mc1sm1r5s9azchjv/v1-cae/1080p/mda-mc1sm1r5s9azchjv.mp4
韩可可《错位时空》DJ版[1920*1080],https://vd3.bdstatic.com/mda-mgciytzb45z6z8yj/1080p/cae_h264/1626183756603775947/mda-mgciytzb45z6z8yj.mp4
精选五首DJ男声串烧[1920*1080],https://vd2.bdstatic.com/mda-maqfk730tsig88wr/v2-hknm/1080p/mda-maqfk730tsig88wr.mp4
林翠萍经典歌曲联唱FHD[1920*1080],https://vdse.bdstatic.com//a5f8fb2b65eb2c8100487f0daf8e520d.mp4
林翠萍经典歌曲联唱FHD[1920*1080],https://vdse.bdstatic.com//a5f8fb2b65eb2c8100487f0daf8e520d.mp4
高胜美经典歌曲专辑FHD[1920*1080],https://vdse.bdstatic.com//ff9ca37b153c35642888b38d07b039a5.mp4
高胜美经典歌曲专辑FHD[1920*1080],https://vdse.bdstatic.com//ff9ca37b153c35642888b38d07b039a5.mp4
六首伤感DJ舞曲《为爱受尽相思罪》《爱过了头心伤透》FHD[1920*1080],https://vdse.bdstatic.com//f27d59d8b75915e122f53c173e27a32e.mp4
六首伤感DJ舞曲《为爱受尽相思罪》《爱过了头心伤透》FHD[1920*1080],https://vdse.bdstatic.com//f27d59d8b75915e122f53c173e27a32e.mp4
伤感情歌DJ舞曲FHD[1920*1080],https://vdse.bdstatic.com//cb6b4890452ee647d62828fdc70e4752.mp4
伤感情歌DJ舞曲FHD[1920*1080],https://vdse.bdstatic.com//cb6b4890452ee647d62828fdc70e4752.mp4
车载DJ舞曲《大风吹》《浪子闲话》《玛尼情歌》《沙漠骆驼》FHD[1920*1080],https://vdse.bdstatic.com//7002925e04c4c451cfa8aafc9b4190c7.mp4
车载DJ舞曲《大风吹》《浪子闲话》《玛尼情歌》《沙漠骆驼》FHD[1920*1080],https://vdse.bdstatic.com//7002925e04c4c451cfa8aafc9b4190c7.mp4
七首DJ情歌《拈花一笑》《对面的小姐姐》《想你了小哥哥》等FHD[1920*1080],https://vdse.bdstatic.com//ed10354ac1acc37c9922074fd88d3697.mp4
七首DJ情歌《拈花一笑》《对面的小姐姐》《想你了小哥哥》等FHD[1920*1080],https://vdse.bdstatic.com//ed10354ac1acc37c9922074fd88d3697.mp4
《拈花一笑》《对面的小姐姐》《想你了小哥哥》《一朵情花开》FHD[1921*1080][1921*1080],https://vdse.bdstatic.com//7cfaf27a4db89583e069a40fbc2ed84b.mp4
网络金曲《拈花一笑》《陪你千山万水》《对面小姐姐》FHD[1920*1080],https://vdse.bdstatic.com//c2deba4d320384736569e542ac531aff.mp4
网络金曲《拈花一笑》《陪你千山万水》《对面小姐姐》FHD[1920*1080],https://vdse.bdstatic.com//c2deba4d320384736569e542ac531aff.mp4
情歌DJ《拈花一笑》《对面的小姐姐》《酒醉的蝴蝶》FHD[1920*1080],https://vdse.bdstatic.com//4eece717c6cc2fb9086a59a13ce30623.mp4
情歌DJ《拈花一笑》《对面的小姐姐》《酒醉的蝴蝶》FHD[1920*1080],https://vdse.bdstatic.com//4eece717c6cc2fb9086a59a13ce30623.mp4
情歌皇后林翠萍《相见不如不见》FHD[1920*1080],https://vdse.bdstatic.com//1f65ad884619a069c68572f1ac9e2b0e.mp4
情歌皇后林翠萍《相见不如不见》FHD[1920*1080],https://vdse.bdstatic.com//1f65ad884619a069c68572f1ac9e2b0e.mp4
林翠萍《负心的你》FHD[1920*1080],https://vdse.bdstatic.com//16425f9f93e382e23bcde71f8ed85a4c.mp4
林翠萍《负心的你》FHD[1920*1080],https://vdse.bdstatic.com//16425f9f93e382e23bcde71f8ed85a4c.mp4
林翠萍经典老歌《相会在梦里》FHD[1920*1080],https://vdse.bdstatic.com//00fb72cd0b27bec6d9c0cd915874b50e.mp4
林翠萍经典老歌《相会在梦里》FHD[1920*1080],https://vdse.bdstatic.com//00fb72cd0b27bec6d9c0cd915874b50e.mp4
林翠萍经典情歌《相思豆》FHD[1920*1045],https://vdse.bdstatic.com//986498bb0ccd2114ba1274df22fae332.mp4
林翠萍经典情歌《相思豆》FHD[1920*1045],https://vdse.bdstatic.com//986498bb0ccd2114ba1274df22fae332.mp4
精选韩宝仪经典歌曲10首FHD[1920*1080],https://vdse.bdstatic.com//42d5ac65a9070eeab2513bf6bc65ea4d.mp4
精选韩宝仪经典歌曲10首FHD[1920*1080],https://vdse.bdstatic.com//42d5ac65a9070eeab2513bf6bc65ea4d.mp4
龙飘飘《我没醉》FHD[1920*1080],https://vdse.bdstatic.com//3d48e45e47836cd75c202ec957260837.mp4
龙飘飘《我没醉》FHD[1920*1080],https://vdse.bdstatic.com//3d48e45e47836cd75c202ec957260837.mp4
龙飘飘《往事》FHD[1920*1080],https://vdse.bdstatic.com//a28e362e15fa8c361219944bfb59b596.mp4
龙飘飘《往事》FHD[1920*1080],https://vdse.bdstatic.com//a28e362e15fa8c361219944bfb59b596.mp4
龙飘飘《歌声恋情》FHD[1920*1080],https://vdse.bdstatic.com//552f15ac34dc97bdb3cc7725cd0a0aa4.mp4
龙飘飘《歌声恋情》FHD[1920*1080],https://vdse.bdstatic.com//552f15ac34dc97bdb3cc7725cd0a0aa4.mp4
美酒加咖啡 龙飘飘FHD[1920*1080],https://vdse.bdstatic.com//816c73543ede254586a625cacc67ea0f.mp4
美酒加咖啡 龙飘飘FHD[1920*1080],https://vdse.bdstatic.com//816c73543ede254586a625cacc67ea0f.mp4
龙飘飘经典歌曲4首FHD[1920*1080],https://vdse.bdstatic.com//d34849bc0342bf0dbf1d94a97c99175e.mp4
龙飘飘经典歌曲4首FHD[1920*1080],https://vdse.bdstatic.com//d34849bc0342bf0dbf1d94a97c99175e.mp4
龙飘飘经典歌曲6首联唱FHD[1920*1080],https://vdse.bdstatic.com//abae155e6b9e79872a313aa47d75cdf4.mp4
龙飘飘经典歌曲6首联唱FHD[1920*1080],https://vdse.bdstatic.com//abae155e6b9e79872a313aa47d75cdf4.mp4
经典【刀郎】歌曲精选《冲动的惩罚》《西海情歌》《驼铃》等FHD[1920*1080],https://vdse.bdstatic.com//32366fcdc5f95486daaebcc32bec1135.mp4
经典【刀郎】歌曲精选《冲动的惩罚》《西海情歌》《驼铃》等FHD[1920*1080],https://vdse.bdstatic.com//32366fcdc5f95486daaebcc32bec1135.mp4
刀郎经典歌曲《情人/为什么我泪水成行/2002年的第一场雪》等FHD[1920*1080],https://vdse.bdstatic.com//9b34ac60de14344db632ced1bdac9ef3.mp4
刀郎经典歌曲《情人/为什么我泪水成行/2002年的第一场雪》等FHD[1920*1080],https://vdse.bdstatic.com//9b34ac60de14344db632ced1bdac9ef3.mp4
刀郎经典歌曲精选FHD[1920*1080],https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
刀郎经典歌曲精选FHD[1920*1080],https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
电子琴经典曲目《故乡/片片枫叶情》等FHD[1920*1080],https://vdse.bdstatic.com//4132f92618c08f23b618c12ea86ae767.mp4
电子琴经典曲目《故乡/片片枫叶情》等FHD[1920*1080],https://vdse.bdstatic.com//4132f92618c08f23b618c12ea86ae767.mp4
《偏偏喜欢你》《千千阙歌》《光辉岁月》《海阔天空》《上海滩》FHD[1920*1080],https://vdse.bdstatic.com//c1e04e418d20de0e27b5bf09722d96e7.mp4
《偏偏喜欢你》《千千阙歌》《光辉岁月》《海阔天空》《上海滩》FHD[1920*1080],https://vdse.bdstatic.com//c1e04e418d20de0e27b5bf09722d96e7.mp4
5首伤感情歌DJFHD[1920*1080],https://vdse.bdstatic.com//a34f76474b9bdfca8c487761861fb603.mp4
5首伤感情歌DJFHD[1920*1080],https://vdse.bdstatic.com//a34f76474b9bdfca8c487761861fb603.mp4
几首绝美情歌DJ精选FHD[1920*1080],https://vdse.bdstatic.com//c5c64b60c9fdfbdfa3e959bb1d56c4b0.mp4
几首绝美情歌DJ精选FHD[1920*1080],https://vdse.bdstatic.com//c5c64b60c9fdfbdfa3e959bb1d56c4b0.mp4
《天路》《驼铃》《鸿雁》《九儿》《绒花》《小芳》FHD[1920*1080],https://vdse.bdstatic.com//e4b7325ebf3010673a51a24f948a8a97.mp4
《天路》《驼铃》《鸿雁》《九儿》《绒花》《小芳》FHD[1920*1080],https://vdse.bdstatic.com//e4b7325ebf3010673a51a24f948a8a97.mp4
《驼铃》《卓玛》《天边》《鸿雁》《天路》草原歌曲FHD[1920*1080],https://vdse.bdstatic.com//f8f4740a4ca7ff31c3a2d8386fc14598.mp4
毛宁《涛声依旧》《晚秋》《心雨》《春风吻上我的脸》《大中国》FHD[1920*1080],https://vdse.bdstatic.com//21736d388636d7648510b2a36fc7cbfd.mp4
毛宁《涛声依旧》《晚秋》《心雨》《春风吻上我的脸》《大中国》FHD[1920*1080],https://vdse.bdstatic.com//21736d388636d7648510b2a36fc7cbfd.mp4
山歌《阿里山的姑娘》《康定情歌》《山路十八弯》《敖包相会》FHD[1920*1080],https://vdse.bdstatic.com//ae82f5b93166f47d85ff12124a021323.mp4
山歌《阿里山的姑娘》《康定情歌》《山路十八弯》《敖包相会》FHD[1920*1080],https://vdse.bdstatic.com//ae82f5b93166f47d85ff12124a021323.mp4
《涛声依旧》《雾里看花》《窗外》《心雨》《听心》《晚秋》《母亲》FHD[1920*1080],https://vdse.bdstatic.com//db8ba0fda2aad9cb15aa32887a160f06.mp4
《涛声依旧》《雾里看花》《窗外》《心雨》《听心》《晚秋》《母亲》FHD[1920*1080],https://vdse.bdstatic.com//db8ba0fda2aad9cb15aa32887a160f06.mp4
《窗外》《同桌的你》《心太软》《心雨》《小芳》FHD[1920*1080],https://vdse.bdstatic.com//97183ae857df5213fcfaf0fabc18efc3.mp4
《窗外》《同桌的你》《心太软》《心雨》《小芳》FHD[1920*1080],https://vdse.bdstatic.com//97183ae857df5213fcfaf0fabc18efc3.mp4
张也《望星空/为了谁/人间第一情/红梅赞/高天上流云》FHD[1920*1080],https://vdse.bdstatic.com//038c6250208e42b9427a885e0370e1a2.mp4
张也《望星空/为了谁/人间第一情/红梅赞/高天上流云》FHD[1920*1080],https://vdse.bdstatic.com//038c6250208e42b9427a885e0370e1a2.mp4
【粤语老歌】《千千阙歌》《初恋情人》《漫步人生路》等FHD[1920*1080],https://vdse.bdstatic.com//06c6164d2434f16bca0da3e4d37c06b5.mp4
【粤语老歌】《千千阙歌》《初恋情人》《漫步人生路》等FHD[1920*1080],https://vdse.bdstatic.com//06c6164d2434f16bca0da3e4d37c06b5.mp4
降央卓玛：这几首歌曲太动听FHD[1860*1080],https://vdse.bdstatic.com//0ce1279c88ff9ab48f48d4e86860cd46.mp4
降央卓玛：这几首歌曲太动听FHD[1860*1080],https://vdse.bdstatic.com//0ce1279c88ff9ab48f48d4e86860cd46.mp4
【经典老歌】DJ版《精选8首》FHD[1920*1080],https://vdse.bdstatic.com//0ac0c7446ae226121af41b2b4e375ae3.mp4
【经典老歌】DJ版《精选8首》FHD[1920*1080],https://vdse.bdstatic.com//200ab148a9e867ad29f5fda4ac175305.mp4
【经典老歌】DJ版《精选8首》FHD[1920*1080],https://vdse.bdstatic.com//0ac0c7446ae226121af41b2b4e375ae3.mp4
【经典老歌】DJ版《精选8首》FHD[1920*1080],https://vdse.bdstatic.com//200ab148a9e867ad29f5fda4ac175305.mp4
经典老歌精选八首《闽南语》FHD[1920*1080],https://vdse.bdstatic.com//4933aab0ea147ecb82b047c44b4ae055.mp4
经典老歌精选八首《闽南语》FHD[1920*1080],https://vdse.bdstatic.com//4933aab0ea147ecb82b047c44b4ae055.mp4
经典老歌DJ版精选六首FHD[1920*1080],https://vdse.bdstatic.com//f203048340fe15016fbec9a72905680d.mp4
经典老歌DJ版精选六首FHD[1920*1080],https://vdse.bdstatic.com//f203048340fe15016fbec9a72905680d.mp4
【老歌DJ版】《精选8首》FHD[1920*1080],https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
【老歌DJ版】《精选8首》FHD[1920*1080],https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
2021一夜火爆几首DJ舞曲FHD[1920*1080],https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4
2021一夜火爆几首DJ舞曲FHD[1920*1080],https://vdse.bdstatic.com//1fc9fd16e02ca272bb81666b85bf4135.mp4
2021《精选5首酒吧DJ舞曲》FHD[1920*1080],https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
2021《精选5首酒吧DJ舞曲》FHD[1920*1080],https://vdse.bdstatic.com//0e59c29ddbc68ed60dce8a6f4631c1f1.mp4
2021火爆女生版伤感DJ情歌FHD[1920*1080],https://vdse.bdstatic.com//8fe197e92568201d4899dfd3d94585a7.mp4
2021火爆女生版伤感DJ情歌FHD[1920*1080],https://vdse.bdstatic.com//8fe197e92568201d4899dfd3d94585a7.mp4
2021最新情歌FHD[1920*1080],https://vdse.bdstatic.com//3d84abfc356b7a2f128eea22fcb442a2.mp4
2021最新情歌FHD[1920*1080],https://vdse.bdstatic.com//3d84abfc356b7a2f128eea22fcb442a2.mp4
让人陶醉的几首DJ舞曲FHD[1920*1080],https://vdse.bdstatic.com//0f464b2beaf5887f90ac36b68fcd342f.mp4
让人陶醉的几首DJ舞曲FHD[1920*1080],https://vdse.bdstatic.com//0f464b2beaf5887f90ac36b68fcd342f.mp4
女生DJ伤感情歌FHD[1920*1080],https://vdse.bdstatic.com//8fe41305b5c64f8e11715b4dfd442c67.mp4
女生DJ伤感情歌FHD[1920*1080],https://vdse.bdstatic.com//8fe41305b5c64f8e11715b4dfd442c67.mp4
粤语和华语经典歌曲【完整版】FHD[1920*1080],https://vdse.bdstatic.com//2922763f303705ef65c46689578439ea.mp4
粤语和华语经典歌曲【完整版】FHD[1920*1080],https://vdse.bdstatic.com//2922763f303705ef65c46689578439ea.mp4
关正杰的十首粤语老歌FHD[1920*1080],https://vdse.bdstatic.com//d95bf4719f9e5b7bf1f2ef3679f1fdb2.mp4
关正杰的十首粤语老歌FHD[1920*1080],https://vdse.bdstatic.com//d95bf4719f9e5b7bf1f2ef3679f1fdb2.mp4
巨星珍藏系列:邓丽君经典歌曲精选(1)FHD[1920*1080],https://vdse.bdstatic.com//d2b16e989b950ad5db5461066c8dbf46.mp4
巨星珍藏系列:邓丽君经典歌曲精选(1)FHD[1920*1080],https://vdse.bdstatic.com//d2b16e989b950ad5db5461066c8dbf46.mp4
巨星珍藏系列:邓丽君经典歌曲精选(2)FHD[1920*1080],https://vdse.bdstatic.com//9b36b59762cdf4a47f8c27672b35e343.mp4
巨星珍藏系列:邓丽君经典歌曲精选(2)FHD[1920*1080],https://vdse.bdstatic.com//9b36b59762cdf4a47f8c27672b35e343.mp4
巨星珍藏系列：邓丽君经典歌曲精选（3)FHD[1920*1080],https://vdse.bdstatic.com//a43cab220b1ac8f879a1b5e29592c9f3.mp4
巨星珍藏系列：邓丽君经典歌曲精选（3)FHD[1920*1080],https://vdse.bdstatic.com//a43cab220b1ac8f879a1b5e29592c9f3.mp4
巨星珍藏系列:邓丽君经典歌曲精选(4)FHD[1920*1080],https://vdse.bdstatic.com//286f53c579b11eecd2d70f985a685ae9.mp4
巨星珍藏系列:邓丽君经典歌曲精选(4)FHD[1920*1080],https://vdse.bdstatic.com//286f53c579b11eecd2d70f985a685ae9.mp4
邓丽君经典歌曲联唱FHD[1920*1080],https://vdse.bdstatic.com//e4ef0d3bbf543b6ad61553680052a800.mp4
邓丽君经典歌曲联唱FHD[1920*1080],https://vdse.bdstatic.com//e4ef0d3bbf543b6ad61553680052a800.mp4
卓依婷《杜十娘/萍聚/真的好想你/好人一生平安/雾里看花》FHD[1920*1080],https://vdse.bdstatic.com//bf6409d65b8cb920467836753adf89d1.mp4
卓依婷《杜十娘/萍聚/真的好想你/好人一生平安/雾里看花》FHD[1920*1080],https://vdse.bdstatic.com//bf6409d65b8cb920467836753adf89d1.mp4
2021精选《5首伤感串烧DJ》HD[1280*720],https://vdse.bdstatic.com//6c21b46f675edcea8994e4baa6d19cad.mp4
2021精选《5首伤感串烧DJ》HD[1280*720],https://vdse.bdstatic.com//6c21b46f675edcea8994e4baa6d19cad.mp4
好歌分享《精选6首伤感DJ舞曲》HD[1280*720],https://vdse.bdstatic.com//0c87c8977d0a33498fe7362d3c60c22c.mp4
好歌分享《精选6首伤感DJ舞曲》HD[1280*720],https://vdse.bdstatic.com//0c87c8977d0a33498fe7362d3c60c22c.mp4
2021爆红《6首女生版伤感DJ》HD[1280*720],https://vdse.bdstatic.com//2e77709380ad7e6163e80c4d5c179689.mp4
2021爆红《6首女生版伤感DJ》HD[1280*720],https://vdse.bdstatic.com//2e77709380ad7e6163e80c4d5c179689.mp4
美人热舞洗脑DJ舞曲HD[1280*720],https://vdse.bdstatic.com//3700f6b78ceaf0f4a5313f4d68c95b72.mp4
音乐MV1[640*360],https://vd4.bdstatic.com/mda-ndg7ce3hecmc5t6z/cae_h264_delogo/1650172839515776748/mda-ndg7ce3hecmc5t6z.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1650258048-0-0-0dbbb46b7572edb787cb9e30270404ae&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1847793612&vid=14747871684211022442&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=488&split=496836
音乐MV2[640*360],https://vd2.bdstatic.com/mda-nda3yidd2i5ah41r/cae_h264_delogo/1649645693291515699/mda-nda3yidd2i5ah41r.mp4?v_from_s=hkapp-haokan-hna&auth_key=1650258048-0-0-cd49fa5ce0b3493e95673bb91ac13f27&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1847793612&vid=5516441000501672766&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=536&split=550204
音乐MV3[640*360],https://vd2.bdstatic.com/mda-nchbmx2czv19tiwg/cae_h264_delogo/1647592962721831078/mda-nchbmx2czv19tiwg.mp4?v_from_s=hkapp-haokan-hna&auth_key=1650258048-0-0-1cd692b12d72ad7a1c574d71be62971b&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1847793612&vid=4701682700549225529&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=562&split=489332
音乐MV4[640*360],https://vd3.bdstatic.com/mda-nd915v6u1pr7ynm9/360p/h264_delogo/1649552015351658271/mda-nd915v6u1pr7ynm9.mp4?v_from_s=hkapp-haokan-hnb&auth_key=1650258048-0-0-52caab845a7b7e1b7883c6d39d1009c9&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1847793612&vid=5730407450171762814&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=1297&split=1221971
音乐MV5[640*360],https://vd3.bdstatic.com/mda-nc12cjdr8sn577iz/360p/h264_delogo/1646185584052912020/mda-nc12cjdr8sn577iz.mp4?v_from_s=hkapp-haokan-hna&auth_key=1650258049-0-0-96470e107cfc7836ef26b001b066eae5&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1848613916&vid=4848424349848046521&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=767&split=768927
音乐MV6[640*360],https://vd2.bdstatic.com/mda-ndh38rhdyqzse8re/360p/h264_delogo/1650248294719857951/mda-ndh38rhdyqzse8re.mp4?v_from_s=hkapp-haokan-hna&auth_key=1650258049-0-0-b7756d300c0d1e1eb5677a87654fc148&bcevod_channel=searchbox_feed&pd=1&vt=1&cd=0&watermark=0&did=&logid=1848613916&vid=5525356031576205369&pt=0&appver=&model=&cr=0&abtest=peav_l52&sle=1&sl=317&split=306755
